Day,Discipline_Code,Event,Phase,Venue
2024-07-27,SHO,10m Air Rifle Mixed Team,10m Air Rifle Mixed Team Qualification,Chateauroux Shooting Ctr
2024-07-27,VVO,Men,Men''s Preliminary Round - Pool C,South Paris Arena 1
2024-07-27,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp I,La Chapelle Arena
2024-07-27,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp A,La Chapelle Arena
2024-07-27,EQU,Eventing Team,Eventing Team Dressage,ChÃ¢teau de Versailles
2024-07-27,EQU,Eventing Individual,Eventing Individual Dressage,ChÃ¢teau de Versailles
2024-07-27,FEN,Women''s Ã‰pÃ©e Individual,Women''s Ã‰pÃ©e Individual Table of 64,Grand Palais
2024-07-27,HOC,Men,Men''s Pool A,Yves-du-Manoir Stadium
2024-07-27,JUD,Women -48 kg,Women -48 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-27,JUD,Men -60 kg,Men -60 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-27,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp A,La Chapelle Arena
2024-07-27,ROW,Women''s Single Sculls,Women''s Single Sculls Heats,Nautical St - Flat water
2024-07-27,FEN,Men''s Sabre Individual,Men''s Sabre Individual Table of 64,Grand Palais
2024-07-27,HOC,Men,Men''s Pool B,Yves-du-Manoir Stadium
2024-07-27,SHO,10m Air Pistol Men,10m Air Pistol Men''s Qualification,Chateauroux Shooting Ctr
2024-07-27,SHO,10m Air Rifle Mixed Team,10m Air Rifle Mixed Team Final,Chateauroux Shooting Ctr
2024-07-27,FEN,Women''s Ã‰pÃ©e Individual,Women''s Ã‰pÃ©e Individual Table of 32,Grand Palais
2024-07-27,JUD,Men -60 kg,Men -60 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-27,GAR,Men,Men''s Qualification,Bercy Arena
2024-07-27,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp C,La Chapelle Arena
2024-07-27,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp A,La Chapelle Arena
2024-07-27,BKB,Men,Men''s Group Phase - Group A,Pierre Mauroy Stadium
2024-07-27,DIV,Women''s Synchronised 3m Springboard,Women''s Synchronised 3m Springboard,Aquatics Centre
2024-07-27,HBL,Men,Men''s Preliminary Round Group B,South Paris Arena 6
2024-07-27,SWM,Women''s 100m Butterfly,Women''s 100m Butterfly - Heats,Paris La Defense Arena
2024-07-27,SWM,Women''s 400m Freestyle,Women''s 400m Freestyle - Heats,Paris La Defense Arena
2024-07-27,JUD,Women -48 kg,Women -48 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-27,ROW,Men''s Double Sculls,Men''s Double Sculls Heats,Nautical St - Flat water
2024-07-27,SWM,Men''s 100m Breaststroke,Men''s 100m Breaststroke - Heats,Paris La Defense Arena
2024-07-27,JUD,Men -60 kg,Men -60 kg Quarterfinals,Champ-de-Mars Arena
2024-07-27,SWM,Men''s 400m Freestyle,Men''s 400m Freestyle - Heats,Paris La Defense Arena
2024-07-27,ROW,Women''s Double Sculls,Women''s Double Sculls Heats,Nautical St - Flat water
2024-07-27,TEN,Women''s Singles,Women''s Singles First Round,Roland-Garros Stadium
2024-07-27,TEN,Men''s Singles,Men''s Singles First Round,Roland-Garros Stadium
2024-07-27,TEN,Women''s Doubles,Women''s Doubles First Round,Roland-Garros Stadium
2024-07-27,SWM,Women''s 4 x 100m Freestyle Relay,Women''s 4 x 100m Freestyle Relay - Heats,Paris La Defense Arena
2024-07-27,JUD,Women -48 kg,Women -48 kg Quarterfinals,Champ-de-Mars Arena
2024-07-27,SWM,Men''s 4 x 100m Freestyle Relay,Men''s 4 x 100m Freestyle Relay - Heats,Paris La Defense Arena
2024-07-27,FEN,Men''s Sabre Individual,Men''s Sabre Individual Table of 32,Grand Palais
2024-07-27,ROW,Men''s Quadruple Sculls,Men''s Quad. Sculls Heats,Nautical St - Flat water
2024-07-27,SHO,10m Air Pistol Women,10m Air Pistol Women''s Qualification,Chateauroux Shooting Ctr
2024-07-27,ROW,Women''s Quadruple Sculls,Women''s Quad. Sculls Heats,Nautical St - Flat water
2024-07-27,VVO,Men,Men''s Preliminary Round - Pool B,South Paris Arena 1
2024-07-27,BKB,Men,Men''s Group Phase - Group B,Pierre Mauroy Stadium
2024-07-27,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp B,La Chapelle Arena
2024-07-27,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp C,La Chapelle Arena
2024-07-27,VBV,Men,Men''s Preliminary - Pool D - Matches,Eiffel Tower Stadium
2024-07-27,WPO,Women,Women''s Preliminary Round - Group A,Aquatics Centre
2024-07-27,FEN,Women''s Ã‰pÃ©e Individual,Women''s Ã‰pÃ©e Individual Table of 16,Grand Palais
2024-07-27,SHO,10m Air Rifle Women,10m Air Rifle Women''s Training,Chateauroux Shooting Ctr
2024-07-27,CRD,Women''s Individual Time Trial,Women''s Individual Time Trial,Pont Alexandre III
2024-07-27,RU7,Men,Men''s Placing 5-8,Stade de France
2024-07-27,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp D,La Chapelle Arena
2024-07-27,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp C,La Chapelle Arena
2024-07-27,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp H,La Chapelle Arena
2024-07-27,VBV,Men,Men''s Preliminary - Pool A - Matches,Eiffel Tower Stadium
2024-07-27,CSL,Men''s Canoe Single,Men''s Canoe Single Heats 1st and 2nd Run,Nautical St - White water
2024-07-27,FEN,Men''s Sabre Individual,Men''s Sabre Individual Table of 16,Grand Palais
2024-07-27,FBL,Men,Men''s Group B,Lyon Stadium
2024-07-27,FBL,Men,Men''s Group C,Bordeaux Stadium
2024-07-27,TTE,Men''s Singles,Men''s Singles Preliminary Round,South Paris Arena 4
2024-07-27,TTE,Women''s Singles,Women''s Singles Preliminary Round,South Paris Arena 4
2024-07-27,BOX,Women''s 54kg,Women''s 54kg - Prelims - Round of 32,North Paris Arena
2024-07-27,RU7,Men,Men''s Semi-finals,Stade de France
2024-07-27,WPO,Women,Women''s Preliminary Round - Group B,Aquatics Centre
2024-07-27,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp L,La Chapelle Arena
2024-07-27,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp A,La Chapelle Arena
2024-07-27,FEN,Women''s Ã‰pÃ©e Individual,Women''s Ã‰pÃ©e Individual Table of 8,Grand Palais
2024-07-27,CSL,Women''s Kayak Single,Women''s Kayak Single Hts 1st and 2nd Run,Nautical St - White water
2024-07-27,JUD,Women -48 kg,Women -48 kg Repechage,Champ-de-Mars Arena
2024-07-27,SHO,10m Air Rifle Men,10m Air Rifle Men''s Training,Chateauroux Shooting Ctr
2024-07-27,JUD,Women -48 kg,Women -48 kg Semifinals,Champ-de-Mars Arena
2024-07-27,FEN,Men''s Sabre Individual,Men''s Sabre Individual Table of 8,Grand Palais
2024-07-27,BOX,Women''s 60kg,Women''s 60kg - Prelims - Round of 32,North Paris Arena
2024-07-27,JUD,Men -60 kg,Men -60 kg Repechage,Champ-de-Mars Arena
2024-07-27,RU7,Men,Men''s Finals,Stade de France
2024-07-27,TTE,Mixed Doubles,Mixed Doubles Round of 16,South Paris Arena 4
2024-07-27,CRD,Men''s Individual Time Trial,Men''s Individual Time Trial,Pont Alexandre III
2024-07-27,JUD,Men -60 kg,Men -60 kg Semifinals,Champ-de-Mars Arena
2024-07-27,JUD,Women -48 kg,Women -48 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-07-27,JUD,Women -48 kg,Women -48 kg Final,Champ-de-Mars Arena
2024-07-27,BOX,Men''s 63.5kg,Men''s 63.5kg - Prelims - Round of 32,North Paris Arena
2024-07-27,JUD,Men -60 kg,Men -60 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-07-27,JUD,Men -60 kg,Men -60 kg Final,Champ-de-Mars Arena
2024-07-27,BOX,Men''s 80kg,Men''s 80kg - Prelims - Round of 32,North Paris Arena
2024-07-27,VBV,Women,Women''s Preliminary - Pool B - Matches,Eiffel Tower Stadium
2024-07-27,FEN,Women''s Ã‰pÃ©e Individual,Women''s Ã‰pÃ©e Individual Semifinals,Grand Palais
2024-07-27,FBL,Men,Men''s Group A,Marseille Stadium
2024-07-27,FBL,Men,Men''s Group D,Parc des Princes
2024-07-27,SRF,Men,Men''s Round 1,"Teahupo''o, Tahiti"
2024-07-27,TEN,Men''s Doubles,Men''s Doubles First Round,Roland-Garros Stadium
2024-07-27,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp B,La Chapelle Arena
2024-07-27,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp C,La Chapelle Arena
2024-07-27,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp K,La Chapelle Arena
2024-07-27,HOC,Women,Women''s Pool B,Yves-du-Manoir Stadium
2024-07-27,FEN,Men''s Sabre Individual,Men''s Sabre Individual Semifinals,Grand Palais
2024-07-27,TTE,Men''s Singles,Men''s Singles Round of 64,South Paris Arena 4
2024-07-27,TTE,Women''s Singles,Women''s Singles Round of 64,South Paris Arena 4
2024-07-27,HOC,Women,Women''s Pool A,Yves-du-Manoir Stadium
2024-07-27,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp C,La Chapelle Arena
2024-07-27,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-27,SWM,Women''s 100m Butterfly,Women''s 100m Butterfly Semifinals,Paris La Defense Arena
2024-07-27,FEN,Women''s Ã‰pÃ©e Individual,Women''s Ã‰pÃ©e Individual Finals,Grand Palais
2024-07-27,SWM,Men''s 400m Freestyle,Men''s 400m Freestyle Final,Paris La Defense Arena
2024-07-27,SWM,Women''s 400m Freestyle,Women''s 400m Freestyle Final,Paris La Defense Arena
2024-07-27,FEN,Men''s Sabre Individual,Men''s Sabre Individual Finals,Grand Palais
2024-07-27,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp P,La Chapelle Arena
2024-07-27,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-27,SWM,Men''s 100m Breaststroke,Men''s 100m Breaststroke Semifinals,Paris La Defense Arena
2024-07-27,SWM,Women''s 4 x 100m Freestyle Relay,Women''s 4 x 100m Freestyle Relay Final,Paris La Defense Arena
2024-07-27,SWM,Men''s 4 x 100m Freestyle Relay,Men''s 4 x 100m Freestyle Relay Final,Paris La Defense Arena
2024-07-27,SRF,Women,Women''s Round 1,"Teahupo''o, Tahiti"
2024-07-28,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp D,La Chapelle Arena
2024-07-28,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-28,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp A,La Chapelle Arena
2024-07-28,VBV,Women,Women''s Preliminary - Pool A - Matches,Eiffel Tower Stadium
2024-07-28,HBL,Women,Women''s Preliminary Round Group B,South Paris Arena 6
2024-07-28,ROW,Women''s Single Sculls,Women''s Single Sculls Repechages,Nautical St - Flat water
2024-07-28,SHO,Trap Men,Trap Men''s Training,Chateauroux Shooting Ctr
2024-07-28,VVO,Women,Women''s Preliminary Round - Pool C,South Paris Arena 1
2024-07-28,SHO,10m Air Rifle Women,10m Air Rifle Women''s Qualification,Chateauroux Shooting Ctr
2024-07-28,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp E,La Chapelle Arena
2024-07-28,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp M,La Chapelle Arena
2024-07-28,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp A,La Chapelle Arena
2024-07-28,ARC,Women''s Team,Women''s Team 1-8 Elimination Round,Invalides
2024-07-28,GAR,Women,Women''s Qualification,Bercy Arena
2024-07-28,FEN,Women''s Foil Individual,Women''s Foil Individual Table of 64,Grand Palais
2024-07-28,SHO,10m Air Pistol Men,10m Air Pistol Men''s Final,Chateauroux Shooting Ctr
2024-07-28,ROW,Men''s Single Sculls,Men''s Single Sculls Repechages,Nautical St - Flat water
2024-07-28,VBV,Men,Men''s Preliminary - Pool B - Matches,Eiffel Tower Stadium
2024-07-28,FEN,Men''s Ã‰pÃ©e Individual,Men''s Ã‰pÃ©e Individual Table of 64,Grand Palais
2024-07-28,HOC,Women,Women''s Pool A,Yves-du-Manoir Stadium
2024-07-28,JUD,Men -66 kg,Men -66 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-28,JUD,Women -52 kg,Women -52 kg Elimination Round of 32,Champ-de-Mars Arena
2024-07-28,TTE,Women''s Singles,Women''s Singles Round of 64,South Paris Arena 4
2024-07-28,TTE,Men''s Singles,Men''s Singles Round of 64,South Paris Arena 4
2024-07-28,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp G,La Chapelle Arena
2024-07-28,ROW,Women''s Double Sculls,Women''s Double Sculls Repechages,Nautical St - Flat water
2024-07-28,ROW,Men''s Double Sculls,Men''s Double Sculls Repechages,Nautical St - Flat water
2024-07-28,FEN,Women''s Foil Individual,Women''s Foil Individual Table of 32,Grand Palais
2024-07-28,EQU,Eventing Team,Eventing Team Cross Country,ChÃ¢teau de Versailles
2024-07-28,EQU,Eventing Individual,Eventing Individual Cross Country,ChÃ¢teau de Versailles
2024-07-28,ROW,Women''s Pair,Women''s Pair Heats,Nautical St - Flat water
2024-07-28,WPO,Men,Men''s Preliminary Round - Group B,Aquatics Centre
2024-07-28,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp J,La Chapelle Arena
2024-07-28,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp N,La Chapelle Arena
2024-07-28,BKB,Men,Men''s Group Phase - Group C,Pierre Mauroy Stadium
2024-07-28,VBV,Women,Women''s Preliminary - Pool E - Matches,Eiffel Tower Stadium
2024-07-28,BOX,Men''s 51kg,Men''s 51kg - Prelims - Round of 32,North Paris Arena
2024-07-28,HBL,Women,Women''s Preliminary Round Group A,South Paris Arena 6
2024-07-28,JUD,Women -52 kg,Women -52 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-28,ROW,Men''s Pair,Men''s Pair Heats,Nautical St - Flat water
2024-07-28,SWM,Men''s 200m Freestyle,Men''s 200m Freestyle - Heats,Paris La Defense Arena
2024-07-28,JUD,Men -66 kg,Men -66 kg Elimination Round of 16,Champ-de-Mars Arena
2024-07-28,SHO,10m Air Rifle Men,10m Air Rifle Men''s Qualification,Chateauroux Shooting Ctr
2024-07-28,SWM,Men''s 400m Individual Medley,Men''s 400m Individual Medley - Heats,Paris La Defense Arena
2024-07-28,BOX,Men''s 71kg,Men''s 71kg - Prelims - Round of 32,North Paris Arena
2024-07-28,SWM,Women''s 100m Breaststroke,Women''s 100m Breaststroke - Heats,Paris La Defense Arena
2024-07-28,ROW,Lightweight Women''s Double Sculls,LWT Women''s Double Sculls Heats,Nautical St - Flat water
2024-07-28,SWM,Men''s 100m Backstroke,Men''s 100m Backstroke - Heats,Paris La Defense Arena
2024-07-28,BOX,Men''s 92kg,Men''s 92kg - Prelims - Round of 16,North Paris Arena
2024-07-28,JUD,Women -52 kg,Women -52 kg Quarterfinals,Champ-de-Mars Arena
2024-07-28,JUD,Men -66 kg,Men -66 kg Quarterfinals,Champ-de-Mars Arena
2024-07-28,VBV,Women,Women''s Preliminary - Pool C - Matches,Eiffel Tower Stadium
2024-07-28,ROW,Lightweight Men''s Double Sculls,LWT Men''s Double Sculls Heats,Nautical St - Flat water
2024-07-28,SHO,10m Air Pistol Women,10m Air Pistol Women''s Final,Chateauroux Shooting Ctr
2024-07-28,SKB,Women''s Street,Women''s Street Prelims,La Concorde 3
2024-07-28,SWM,Women''s 200m Freestyle,Women''s 200m Freestyle - Heats,Paris La Defense Arena
2024-07-28,TEN,Women''s Singles,Women''s Singles First Round,Roland-Garros Stadium
2024-07-28,TEN,Men''s Singles,Men''s Singles First Round,Roland-Garros Stadium
2024-07-28,TEN,Men''s Doubles,Men''s Doubles First Round,Roland-Garros Stadium
2024-07-28,TEN,Women''s Doubles,Women''s Doubles First Round,Roland-Garros Stadium
2024-07-28,BOX,Women''s 50kg,Women''s 50kg - Prelims - Round of 32,North Paris Arena
2024-07-28,FEN,Men''s Ã‰pÃ©e Individual,Men''s Ã‰pÃ©e Individual Table of 32,Grand Palais
2024-07-28,ROW,Women''s Four,Women''s Four Heats,Nautical St - Flat water
2024-07-28,SAL,Women''s Skiff,Women''s Skiff Opening Series,Marseille Marina
2024-07-28,HOC,Women,Women''s Pool B,Yves-du-Manoir Stadium
2024-07-28,ROW,Men''s Four,Men''s Four Heats,Nautical St - Flat water
2024-07-28,BOX,Women''s 66kg,Women''s 66kg - Prelims - Round of 32,North Paris Arena
2024-07-28,VVO,Women,Women''s Preliminary Round - Pool B,South Paris Arena 1
2024-07-28,SAL,Men''s Skiff,Men''s Skiff Opening Series,Marseille Marina
2024-07-28,BKB,Women,Women''s Group Phase - Group A,Pierre Mauroy Stadium
2024-07-28,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp B,La Chapelle Arena
2024-07-28,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp A,La Chapelle Arena
2024-07-28,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp H,La Chapelle Arena
2024-07-28,SHO,10m Air Pistol Mixed Team,10m Air Pistol Mixed Team Training,Chateauroux Shooting Ctr
2024-07-28,FEN,Women''s Foil Individual,Women''s Foil Individual Table of 16,Grand Palais
2024-07-28,MTB,Women''s Cross-country,Women''s Cross-country,Elancourt Hill
2024-07-28,ARC,Women''s Team,Women''s Team Quarterfinals,Invalides
2024-07-28,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp P,La Chapelle Arena
2024-07-28,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp G,La Chapelle Arena
2024-07-28,WPO,Men,Men''s Preliminary Round - Group A,Aquatics Centre
2024-07-28,FEN,Men''s Ã‰pÃ©e Individual,Men''s Ã‰pÃ©e Individual Table of 16,Grand Palais
2024-07-28,BOX,Men''s 57kg,Men''s 57kg - Prelims - Round of 32,North Paris Arena
2024-07-28,CSL,Women''s Kayak Single,Women''s Kayak Single Semifinal,Nautical St - White water
2024-07-28,RU7,Women,Women''s Pool B,Stade de France
2024-07-28,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp A,La Chapelle Arena
2024-07-28,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp B,La Chapelle Arena
2024-07-28,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp J,La Chapelle Arena
2024-07-28,ARC,Women''s Team,Women''s Team Semifinals,Invalides
2024-07-28,FEN,Women''s Foil Individual,Women''s Foil Individual Table of 8,Grand Palais
2024-07-28,JUD,Men -66 kg,Men -66 kg Repechage,Champ-de-Mars Arena
2024-07-28,TTE,Mixed Doubles,Mixed Doubles Quarterfinals,South Paris Arena 4
2024-07-28,JUD,Men -66 kg,Men -66 kg Semifinals,Champ-de-Mars Arena
2024-07-28,JUD,Women -52 kg,Women -52 kg Repechage,Champ-de-Mars Arena
2024-07-28,FEN,Men''s Ã‰pÃ©e Individual,Men''s Ã‰pÃ©e Individual Table of 8,Grand Palais
2024-07-28,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp K,La Chapelle Arena
2024-07-28,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp I,La Chapelle Arena
2024-07-28,RU7,Women,Women''s Pool C,Stade de France
2024-07-28,JUD,Women -52 kg,Women -52 kg Semifinals,Champ-de-Mars Arena
2024-07-28,ARC,Women''s Team,Women''s Team Finals,Invalides
2024-07-28,JUD,Men -66 kg,Men -66 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-07-28,VBV,Men,Men''s Preliminary - Pool E - Matches,Eiffel Tower Stadium
2024-07-28,FBL,Women,Women''s Group A,Lyon Stadium
2024-07-28,FBL,Women,Women''s Group C,Parc des Princes
2024-07-28,HOC,Men,Men''s Pool A,Yves-du-Manoir Stadium
2024-07-28,JUD,Men -66 kg,Men -66 kg Final,Champ-de-Mars Arena
2024-07-28,SKB,Women''s Street,Women''s Street Final,La Concorde 3
2024-07-28,VVO,Men,Men''s Preliminary Round - Pool A,South Paris Arena 1
2024-07-28,JUD,Women -52 kg,Women -52 kg Contests for Bronze Medals,Champ-de-Mars Arena
2024-07-28,JUD,Women -52 kg,Women -52 kg Final,Champ-de-Mars Arena
2024-07-28,HOC,Men,Men''s Pool B,Yves-du-Manoir Stadium
2024-07-28,RU7,Women,Women''s Pool A,Stade de France
2024-07-28,CSL,Women''s Kayak Single,Women''s Kayak Single Final,Nautical St - White water
2024-07-28,FEN,Women''s Foil Individual,Women''s Foil Individual Semifinals,Grand Palais
2024-07-28,FBL,Women,Women''s Group B,Nice Stadium
2024-07-28,SRF,Women,Women''s Round 2,"Teahupo''o, Tahiti"
2024-07-28,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp L,La Chapelle Arena
2024-07-28,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp B,La Chapelle Arena
2024-07-28,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp E,La Chapelle Arena
2024-07-28,FEN,Men''s Ã‰pÃ©e Individual,Men''s Ã‰pÃ©e Individual Semifinals,Grand Palais
2024-07-28,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp M,La Chapelle Arena
2024-07-28,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-28,SWM,Men''s 400m Individual Medley,Men''s 400m Individual Medley Final,Paris La Defense Arena
2024-07-28,SWM,Women''s 100m Butterfly,Women''s 100m Butterfly Final,Paris La Defense Arena
2024-07-28,SWM,Men''s 200m Freestyle,Men''s 200m Freestyle Semifinals,Paris La Defense Arena
2024-07-28,FEN,Women''s Foil Individual,Women''s Foil Individual Finals,Grand Palais
2024-07-28,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp C,La Chapelle Arena
2024-07-28,SWM,Women''s 100m Breaststroke,Women''s 100m Breaststroke Semifinals,Paris La Defense Arena
2024-07-28,FEN,Men''s Ã‰pÃ©e Individual,Men''s Ã‰pÃ©e Individual Finals,Grand Palais
2024-07-28,SWM,Men''s 100m Backstroke,Men''s 100m Backstroke Semifinals,Paris La Defense Arena
2024-07-28,SWM,Men''s 100m Breaststroke,Men''s 100m Breaststroke Final,Paris La Defense Arena
2024-07-28,SWM,Women''s 200m Freestyle,Women''s 200m Freestyle Semifinals,Paris La Defense Arena
2024-07-28,SRF,Men,Men''s Round 2,"Teahupo''o, Tahiti"
2024-07-29,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp D,La Chapelle Arena
2024-07-29,BDM,Women''s Singles,Women''s Singles Group Play Stage - Grp N,La Chapelle Arena
2024-07-29,BDM,Men''s Doubles,Men''s Doubles Group Play Stage - Grp C,La Chapelle Arena
2024-07-29,VBV,Men,Men''s Preliminary - Pool A - Matches,Eiffel Tower Stadium
2024-07-29,FEN,Women''s Sabre Individual,Women''s Sabre Individual Table of 64,Grand Palais
2024-07-29,HBL,Men,Men''s Preliminary Round Group A,South Paris Arena 6
2024-07-29,VVO,Women,Women''s Preliminary Round - Pool C,South Paris Arena 1
2024-07-29,SHO,10m Air Pistol Mixed Team,10m Air Pistol Mixed Team Qualification,Chateauroux Shooting Ctr
2024-07-29,BDM,Men''s Singles,Men''s Singles Group Play Stage - Grp C,La Chapelle Arena
2024-07-29,BDM,Mixed Doubles,Mixed Doubles Group Play Stage - Grp A,La Chapelle Arena
2024-07-29,BDM,Women''s Doubles,Women''s Doubles Group Play Stage - Grp C,La Chapelle Arena
2024-07-29,FEN,Men''s Foil Individual,Men''s Foil Individual Table of 64,Grand Palais
2024-07-29,ARC,Men''s Team,Men''s Team 1-8 Elimination Round,Invalides
2024-07-29,ROW,Men''s Single Sculls,Men''s Single Sculls Semifinals,Nautical St - Flat water
2024-07-29,SHO,Trap Men,Trap Men''s Qualification,Chateauroux Shooting Ctr
2024-07-29,SHO,10m Air Rifle Women,10m Air Rifle Women''s Final,Chateauroux Shooting Ctr
2024-07-29,ROW,Women''s Single Sculls,Women''s Single Sculls Semifinals,Nautical St - Flat water
2024-07-29,VBV,Men,Men''s Preliminary - Pool F - Matches,Eiffel Tower Stadium
